Region,Zone,Sub_Zone,Geographic_Area,Chla,NOX,PN,PP,Secchi,TSS,Turbidity,TN,FRP,TP,Nutrients,Phys_Chem,overall_wq,Chla_Grade,NOX_Grade,PN_Grade,PP_Grade,Secchi_Grade,TSS_Grade,Turbidity_Grade,TN_Grade,FRP_Grade,TP_Grade,Nutrients_Grade,Phys_Chem_Grade,overall_wq_Grade
DT,Halifax Bay,Midshelf,Midshelf,43.35375550456081,100,25.43229698988405,72.1310057678614,41.002150819811455,100,100,NA,NA,NA,65.85443425258181,80.33405027327049,63.18074667680437,C,A,D,B,C,A,A,NA,NA,NA,B,B,B
DT,Halifax Bay,HB.Open Coastal,H.Open Coastal,61.43532936658758,100,32.91721307376956,63.73806765528012,11.965092073056063,86.58017802925369,82.82635465707406,NA,NA,NA,65.55176024301656,60.45720825312794,62.481432620910695,B,A,D,B,E,A,A,NA,NA,NA,B,C,B
DT,Cleveland Bay,Magnetic Island,Magnetic Island,84.03733471487651,19.173240958788263,8.669749910158687,40.78907756772274,85.13623642555386,100,89.11430256371877,NA,NA,NA,22.877356145556565,91.41684632975755,66.1105123967302,A,E,E,D,A,A,A,NA,NA,NA,D,A,B
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Outside Port Zone,90.85216746580856,100,NA,NA,63.98348989571264,0.4742434446332737,0,75.30392483099625,100,100,100,21.485911113448637,70.77935952641907,A,A,NA,NA,B,E,E,B,A,A,A,D,B
DT,Cleveland Bay,CB.Open Coastal,OC.Outside Port Zone,NA,100,NA,NA,0,3.677985043850363,30.64839822635303,81.02385311420495,100,100,100,11.442127756734465,55.72106387836723,NA,A,NA,NA,E,E,D,A,A,A,A,E,C
DT,Cleveland Bay,CB.Open Coastal,OC.Inside Port Zone,NA,100,NA,NA,72.39433237373706,44.82522551585798,66.53126124332266,100,100,100,100,61.2502730443059,80.62513652215296,NA,A,NA,NA,B,C,B,A,A,A,A,B,B
DT,Halifax Bay,HB.Enclosed Coastal,H.Enclosed Coastal,100,100,NA,NA,NA,88.90151707977961,88.23939893529209,100,100,100,100,88.57045800753585,96.19015266917862,A,A,NA,NA,NA,A,A,A,A,A,A,A,A
DT,Cleveland Bay,CB.Enclosed Coastal,EC.Inside Port Zone,NA,100,NA,NA,60.52195343206954,85.84706220651894,28.771119436717107,90.65478797842428,100,100,100,58.380045025101865,79.19002251255094,NA,A,NA,NA,C,A,D,A,A,A,A,C,B
DT,Cleveland Bay,CB.Enclosed Coastal,NA,90.85216746580856,100,NA,NA,62.25272166389109,43.16065282557611,14.385559718358554,82.97935640471027,100,100,100,39.93297806927525,76.92838184502794,A,A,NA,NA,B,C,E,A,A,A,A,D,B
DT,Cleveland Bay,CB.Open Coastal,NA,NA,100,NA,NA,36.19716618686853,24.25160527985417,48.58982973483785,90.51192655710247,100,100,100,36.34620040052018,68.1731002002601,NA,A,NA,NA,D,D,C,A,A,A,A,D,B
DT,Cleveland Bay,Magnetic Island,NA,84.03733471487651,19.173240958788263,8.669749910158687,40.78907756772274,85.13623642555386,100,89.11430256371877,NA,NA,NA,22.877356145556565,91.41684632975755,66.1105123967302,A,E,E,D,A,A,A,NA,NA,NA,D,A,B
DT,Halifax Bay,HB.Enclosed Coastal,NA,100,100,NA,NA,NA,88.90151707977961,88.23939893529209,100,100,100,100,88.57045800753585,96.19015266917862,A,A,NA,NA,NA,A,A,A,A,A,A,A,A
DT,Halifax Bay,HB.Open Coastal,NA,61.43532936658758,100,32.91721307376956,63.73806765528012,11.965092073056063,86.58017802925369,82.82635465707406,NA,NA,NA,65.55176024301656,60.45720825312794,62.481432620910695,B,A,D,B,E,A,A,NA,NA,NA,B,C,B
DT,Halifax Bay,Midshelf,NA,43.35375550456081,100,25.43229698988405,72.1310057678614,41.002150819811455,100,100,NA,NA,NA,65.85443425258181,80.33405027327049,63.18074667680437,C,A,D,B,C,A,A,NA,NA,NA,B,B,B
DT,Cleveland Bay,NA,NA,87.44475109034254,83.83464819175765,8.669749910158687,40.78907756772274,56.40720242541462,46.96490324217211,43.013016294022314,86.74564148090637,100,100,84.57547122911132,48.795040653869684,73.6050876577745,A,A,E,D,C,C,C,A,A,A,A,C,B
DT,Halifax Bay,NA,NA,68.26302829038279,100,29.174755031826805,67.93453671157076,26.48362144643376,91.8272317030111,90.35525119745539,100,100,100,77.13539816519946,76.45390551131143,73.9507773222979,B,A,D,B,D,A,A,A,A,A,B,B,B
